fluid,temp_c_k,area_ratio,exit_temp_k,ratio,exit_rho,slope
methane,8000,157.3221,3273.85,0.40923,1.022630e-02,-0.0913
methane,8000,167.6167,3255.02,0.40688,9.573644e-03,-0.0907
methane,8000,178.5914,3236.42,0.40455,8.962646e-03,-0.0901
methane,8000,190.2915,3218.04,0.40226,8.390642e-03,-0.0894
methane,8000,202.7651,3199.88,0.39999,7.855144e-03,-0.0888
methane,8000,216.0639,3181.94,0.39774,7.353822e-03,-0.0882
methane,8000,230.2425,3164.20,0.39552,6.884494e-03,-0.0877
methane,8000,245.3595,3146.67,0.39333,6.445120e-03,-0.0871
methane,8000,261.4775,3129.34,0.39117,6.033787e-03,-0.0865
methane,8000,278.6630,3112.20,0.38903,5.648705e-03,-0.0860
methane,8000,296.9870,3095.27,0.38691,5.288200e-03,-0.0854
methane,8000,316.5255,3078.52,0.38481,4.950702e-03,-0.0849
methane,8000,337.3592,3061.96,0.38275,4.634744e-03,-0.0843
methane,8000,359.5745,3045.59,0.38070,4.338951e-03,-0.0838
methane,8000,383.2635,3029.39,0.37867,4.062035e-03,-0.0833
methane,8000,408.5243,3013.38,0.37667,3.802793e-03,-0.0828
methane,8000,435.4618,2997.53,0.37469,3.560095e-03,-0.0823
methane,8000,464.1877,2981.86,0.37273,3.332887e-03,-0.0818
methane,8000,494.8213,2966.36,0.37080,3.120179e-03,-0.0813
methane,8000,527.4899,2951.02,0.36888,2.921046e-03,-0.0808
methane,8000,562.3293,2935.85,0.36698,2.734623e-03,-0.0804
methane,8000,599.4842,2920.83,0.36510,2.560097e-03,-0.0799
methane,8000,639.1094,2905.97,0.36325,2.396709e-03,-0.0795
methane,8000,681.3696,2891.27,0.36141,2.243749e-03,-0.0790
methane,8000,726.4409,2876.71,0.35959,2.100551e-03,-0.0786
methane,8000,774.5110,2862.31,0.35779,1.966492e-03,-0.0781
methane,8000,825.7802,2848.05,0.35601,1.840989e-03,-0.0777
methane,8000,880.4622,2833.93,0.35424,1.723495e-03,-0.0773
methane,8000,938.7850,2819.95,0.35249,1.613500e-03,-0.0769
methane,10000,1.0064,8551.01,0.85510,3.168514e+00,-1.6958
methane,10000,1.0206,8406.10,0.84061,2.966297e+00,-0.9873
methane,10000,1.0414,8267.16,0.82672,2.776985e+00,-0.7300
methane,10000,1.0678,8133.74,0.81337,2.599755e+00,-0.5957
methane,10000,1.0992,8005.42,0.80054,2.433837e+00,-0.5127
methane,10000,1.1353,7881.85,0.78818,2.278507e+00,-0.4559
methane,10000,1.1760,7762.68,0.77627,2.133091e+00,-0.4143
methane,10000,1.2211,7647.62,0.76476,1.996955e+00,-0.3824
methane,10000,1.2706,7536.41,0.75364,1.869508e+00,-0.3570
methane,10000,1.3245,7428.80,0.74288,1.750194e+00,-0.3363
methane,10000,1.3830,7324.56,0.73246,1.638495e+00,-0.3190
methane,10000,1.4461,7223.51,0.72235,1.533925e+00,-0.3042
methane,10000,1.5141,7125.46,0.71255,1.436029e+00,-0.2915
methane,10000,1.5871,7030.24,0.70302,1.344380e+00,-0.2804
methane,10000,1.6654,6937.71,0.69377,1.258580e+00,-0.2705
methane,10000,1.7492,6847.73,0.68477,1.178257e+00,-0.2618
methane,10000,1.8388,6760.16,0.67602,1.103059e+00,-0.2539
methane,10000,1.9345,6674.90,0.66749,1.032661e+00,-0.2467
methane,10000,2.0367,6591.83,0.65918,9.667558e-01,-0.2402
methane,10000,2.1457,6510.87,0.65109,9.050566e-01,-0.2342
methane,10000,2.2619,6431.91,0.64319,8.472951e-01,-0.2286
methane,10000,2.3858,6354.87,0.63549,7.932200e-01,-0.2235
methane,10000,2.5178,6279.68,0.62797,7.425960e-01,-0.2187
methane,10000,2.6584,6206.26,0.62063,6.952029e-01,-0.2142
methane,10000,2.8082,6134.54,0.61345,6.508344e-01,-0.2100
methane,10000,2.9676,6064.47,0.60645,6.092976e-01,-0.2061
methane,10000,3.1374,5995.97,0.59960,5.704117e-01,-0.2023
methane,10000,3.3182,5929.01,0.59290,5.340075e-01,-0.1988
methane,10000,3.5106,5863.52,0.58635,4.999267e-01,-0.1954
methane,10000,3.7155,5799.45,0.57995,4.680210e-01,-0.1922
methane,10000,3.9335,5736.77,0.57368,4.381515e-01,-0.1891
methane,10000,4.1655,5675.42,0.56754,4.101882e-01,-0.1861
methane,10000,4.4125,5615.37,0.56154,3.840097e-01,-0.1833
methane,10000,4.6754,5556.57,0.55566,3.595018e-01,-0.1805
methane,10000,4.9552,5498.99,0.54990,3.365581e-01,-0.1779
methane,10000,5.2530,5442.60,0.54426,3.150787e-01,-0.1754
methane,10000,5.5700,5387.36,0.53874,2.949701e-01,-0.1729
methane,10000,5.9074,5333.24,0.53332,2.761448e-01,-0.1705
methane,10000,6.2666,5280.20,0.52802,2.585210e-01,-0.1682
methane,10000,6.6488,5228.22,0.52282,2.420220e-01,-0.1660
methane,10000,7.0558,5177.27,0.51773,2.265759e-01,-0.1638
methane,10000,7.4890,5127.33,0.51273,2.121157e-01,-0.1616
methane,10000,7.9501,5078.36,0.50784,1.985783e-01,-0.1596
methane,10000,8.4411,5030.33,0.50303,1.859048e-01,-0.1576
methane,10000,8.9637,4983.24,0.49832,1.740402e-01,-0.1556
methane,10000,9.5202,4937.04,0.49370,1.629328e-01,-0.1537
methane,10000,10.1127,4891.73,0.48917,1.525343e-01,-0.1518
methane,10000,10.7435,4847.27,0.48473,1.427994e-01,-0.1500
methane,10000,11.4153,4803.64,0.48036,1.336858e-01,-0.1482
methane,10000,12.1305,4760.83,0.47608,1.251539e-01,-0.1464
methane,10000,12.8922,4718.81,0.47188,1.171665e-01,-0.1447
methane,10000,13.7034,4677.56,0.46776,1.096888e-01,-0.1431
methane,10000,14.5672,4637.07,0.46371,1.026884e-01,-0.1414
methane,10000,15.4873,4597.31,0.45973,9.613471e-02,-0.1398
methane,10000,16.4671,4558.26,0.45583,8.999931e-02,-0.1382
methane,10000,17.5108,4519.92,0.45199,8.425547e-02,-0.1367
methane,10000,18.6224,4482.26,0.44823,7.887822e-02,-0.1352
methane,10000,19.8065,4445.26,0.44453,7.384414e-02,-0.1337
methane,10000,21.0678,4408.90,0.44089,6.913134e-02,-0.1323
methane,10000,22.4114,4373.19,0.43732,6.471932e-02,-0.1309
methane,10000,23.8428,4338.08,0.43381,6.058888e-02,-0.1295
