volume_m3,length_m,temp_k,slug_ratio,slug_mass_kg,rho_kg_m3,pressure_bar,energy_mj_kg,sound_speed_m_s,hydrogen_dissociated,carbon_free,store_charged,sensible_fraction,ionisation_fraction,c3_store_exposure,precharge_bar,isp_vs_ask_geometry,acoustic_ms,blowdown_ms,equilibrations,crossings_during_impact
200.0,7.10,8000,24.332,608.3,3.1664,558.2,111.03,4790,0.7988,0.4803,0.7661,0.2932,0.00022,0.0985,1.750,0.8778,1.482,10.08,6.8,0.0639
200.0,7.10,10000,19.559,489.0,2.5699,641.6,136.80,6036,0.9343,0.9017,0.9465,0.2874,0.00181,0.0117,1.406,0.9838,1.176,8.00,6.8,0.0805
200.0,7.10,12000,17.759,444.0,2.3449,723.5,149.93,6804,0.9712,0.9726,0.9814,0.3142,0.00675,0.0011,1.277,1.0350,1.044,7.09,6.8,0.0907
400.0,14.00,8000,22.342,558.6,1.4589,276.3,120.49,5004,0.8861,0.6846,0.8640,0.2651,0.00035,0.0605,0.803,0.9177,2.798,19.29,6.9,0.0667
400.0,14.00,10000,19.105,477.6,1.2566,320.6,139.89,6200,0.9661,0.9613,0.9758,0.2797,0.00261,0.0034,0.687,0.9960,2.258,15.57,6.9,0.0827
400.0,14.00,12000,17.504,437.6,1.1565,360.5,152.00,6785,0.9855,0.9879,0.9911,0.3102,0.00955,0.0003,0.629,1.0429,2.063,14.23,6.9,0.0905
673.0,23.80,8000,21.332,533.3,0.8296,163.2,125.94,5160,0.9290,0.8191,0.9203,0.2508,0.00049,0.0335,0.456,0.9401,4.613,31.47,6.8,0.0688
673.0,23.80,10000,18.916,472.9,0.7398,190.4,141.22,6253,0.9796,0.9804,0.9864,0.2767,0.00340,0.0012,0.404,1.0012,3.806,25.97,6.8,0.0834
673.0,23.80,12000,17.321,433.0,0.6806,213.4,153.51,6743,0.9914,0.9933,0.9948,0.3079,0.01236,0.0001,0.370,1.0487,3.530,24.08,6.8,0.0899
