plate_radius,plate_mass_t,d_over_d,l_over_d,r_foot_over_r,rho_impact,e_eff,e_eff_lo,e_eff_hi,eta_capture,focusing_factor,peak_compressive,f,f_lo,f_hi,survives_baseline,survives_relaxed
8.0,9.047786842338605,0.0,0.3,0.3,3.837648126251335,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9199513067172531,1.0,22366585324.324226,0.6777493988389635,0.6541738212015207,0.7280098128327499,False,False
8.0,9.409698316032149,0.1,0.3,0.3,3.837648126251335,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9717192808390559,1.1525355848419279,25778285497.686905,0.7158880623573212,0.6909858276629992,0.7689767562741678,False,False
8.0,9.862087658149079,0.15,0.3,0.3,3.837648126251335,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9926095565300276,1.2095895544882451,27054387977.87266,0.7312784114853189,0.7058408220251262,0.7855084200532847,False,False
8.0,9.047786842338605,0.0,0.3,0.5,0.8289319952702883,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9163099624599944,1.0,4831182430.054032,0.6750667363292168,0.6515844753636618,0.725128209935042,False,False
8.0,9.862087658149079,0.15,0.3,0.5,0.8289319952702883,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9677164437005982,1.6420945983340616,7933258571.958152,0.7129390796835308,0.6881394256334654,0.7658090834911733,False,False
8.0,9.047786842338605,0.0,0.3,0.7,0.302088919559143,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9085701308050995,1.0,1760634996.3753767,0.6693646233881109,0.6460807109663845,0.7190032407618977,False,False
8.0,9.409698316032149,0.1,0.3,0.7,0.302088919559143,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9687577711723405,1.7203489413182185,3028906552.062185,0.7137062497096122,0.6888799095768413,0.7666331451695092,False,False
8.0,9.862087658149079,0.15,0.3,0.7,0.302088919559143,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9612496787475207,1.9285718352082186,3395511066.0914755,0.7081748644175937,0.683540934051055,0.7606915644347322,False,False
8.0,9.047786842338605,0.0,0.6,0.3,1.9188240631256674,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8762356399767697,1.0,11183292662.162113,0.6455430563544547,0.6230877794195465,0.6934151183861885,False,False
8.0,9.409698316032149,0.1,0.6,0.3,1.9188240631256674,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9341076518363784,1.2620098003235947,14113424939.53553,0.6881787056122544,0.6642403435415688,0.7392125341999773,False,False
8.0,9.862087658149079,0.15,0.6,0.3,1.9188240631256674,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.922065829395802,1.5730536268921136,17591919082.810074,0.679307216588396,0.6556774501115981,0.7296831549414036,False,False
8.0,9.047786842338605,0.0,0.6,0.5,0.41446599763514413,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8676099067228468,1.0,2415591215.027016,0.6391882792214643,0.6169540538166999,0.6865890848712825,False,False
8.0,9.409698316032149,0.1,0.6,0.5,0.41446599763514413,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9478263822917862,1.6543321066613133,3996190103.588205,0.6982856115442267,0.6739956797843881,0.7500689461841977,False,False
8.0,9.862087658149079,0.15,0.6,0.5,0.41446599763514413,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.935378256573032,1.9719425745429133,4763407159.603619,0.6891147895007612,0.665143865662516,0.7402180360235645,False,False
8.0,9.047786842338605,0.0,0.6,0.7,0.1510444597795715,0.46786612329193383,0.4194111473602743,0.5755047438091274,0.8516414958884525,1.0,880317498.1876884,0.6250478505021632,0.6044147164093244,0.6708826083984792,False,True
8.0,9.409698316032149,0.1,0.6,0.7,0.1510444597795715,0.46786612329193383,0.4194111473602743,0.5755047438091274,0.9134980291407299,1.8386648788564666,1618608866.1604936,0.6704464053348126,0.6483146428269964,0.7196102391857542,False,False
8.0,9.862087658149079,0.15,0.6,0.7,0.1510444597795715,0.46786612329193383,0.4194111473602743,0.5755047438091274,0.9296974177958603,2.0248958634958796,1782551260.6432917,0.6823356722472654,0.6598114392457533,0.7323713460222371,False,False
8.0,9.047786842338605,0.0,1.0,0.3,1.1512944378754004,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8351605669227239,1.0,6709975597.297267,0.6152821002947421,0.5938794536095856,0.6609100759694618,False,False
8.0,9.409698316032149,0.1,1.0,0.3,1.1512944378754004,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9237095267874664,1.5571606568908787,10448510008.809177,0.6805181664625247,0.6568462769785777,0.7309839062113043,False,False
8.0,9.862087658149079,0.15,1.0,0.3,1.1512944378754004,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9195513731158785,1.8625062974422153,12497371805.64975,0.6774547585075372,0.6538894299621933,0.7276933226183697,False,False
8.0,9.047786842338605,0.0,1.0,0.5,0.24867959858108646,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8205366236353576,1.0,1449354729.0162096,0.6045083031390696,0.5834804240180433,0.6493373175660822,False,False
8.0,9.409698316032149,0.1,1.0,0.5,0.24867959858108646,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8882953840486297,1.8317252666512955,2654819677.4795327,0.654427748658465,0.6316634168523066,0.7029586800513106,False,False
8.0,9.862087658149079,0.15,1.0,0.5,0.24867959858108646,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9115454545792234,2.1734864761416115,3150152902.6486216,0.6715566132081585,0.6481964522109683,0.7213577837557504,False,False
8.0,9.047786842338605,0.0,1.0,0.7,0.0906266758677429,0.42046290046599033,0.4011687087864035,0.5124746209189205,0.7936265883876891,1.0,528190498.91261286,0.5636585628140527,0.5560023710548684,0.600170036711423,False,True
8.0,9.409698316032149,0.1,1.0,0.7,0.0906266758677429,0.42046290046599033,0.4011687087864035,0.5124746209189205,0.8829985255411649,2.1425329201875902,1131665532.0505807,0.627133323348698,0.618614951946406,0.6677564300949195,False,False
8.0,9.862087658149079,0.15,1.0,0.7,0.0906266758677429,0.42046290046599033,0.4011687087864035,0.5124746209189205,0.8715894166770193,2.08153413499622,1099446553.2672875,0.6190302154142497,0.6106219087786169,0.6591284362927589,False,False
10.0,14.137166941154067,0.0,0.3,0.3,1.964875840640683,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9199513067172531,1.0,11451691686.054,0.6777493988389635,0.6541738212015207,0.7280098128327499,False,False
10.0,14.702653618800232,0.1,0.3,0.3,1.964875840640683,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9717192808390559,1.1525355848419279,13198482174.815691,0.7158880623573212,0.6909858276629992,0.7689767562741678,False,False
10.0,15.409511965857934,0.15,0.3,0.3,1.964875840640683,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9926095565300276,1.2095895544882451,13851846644.6708,0.7312784114853189,0.7058408220251262,0.7855084200532847,False,False
10.0,14.137166941154067,0.0,0.3,0.5,0.4244131815783876,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9163099624599944,1.0,2473565404.187664,0.6750667363292168,0.6515844753636618,0.725128209935042,False,False
10.0,15.409511965857934,0.15,0.3,0.5,0.4244131815783876,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9677164437005982,1.6420945983340616,4061828388.8425727,0.7129390796835308,0.6881394256334654,0.7658090834911733,False,False
10.0,14.137166941154067,0.0,0.3,0.7,0.1546695268142812,0.47016372807710055,0.4205562719686957,0.5784730585529875,0.9085701308050995,1.0,901445118.1441926,0.6678734253619619,0.6453374989193011,0.7170767366409068,False,False
10.0,14.702653618800232,0.1,0.3,0.7,0.1546695268142812,0.47016372807710055,0.4205562719686957,0.5784730585529875,0.9687577711723405,1.7203489413182185,1550800154.655838,0.7121162682351954,0.6880874639286414,0.7645790210296898,False,False
10.0,15.409511965857934,0.15,0.3,0.7,0.1546695268142812,0.47016372807710055,0.4205562719686957,0.5784730585529875,0.9612496787475207,1.9285718352082186,1738501665.838835,0.7065972056601851,0.6827546300363422,0.7586533602228378,False,False
10.0,14.137166941154067,0.0,0.6,0.3,0.9824379203203415,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8762356399767697,1.0,5725845843.027,0.6455430563544547,0.6230877794195465,0.6934151183861885,False,False
10.0,14.702653618800232,0.1,0.6,0.3,0.9824379203203415,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9341076518363784,1.2620098003235947,7226073569.04219,0.6881787056122544,0.6642403435415688,0.7392125341999773,False,False
10.0,15.409511965857934,0.15,0.6,0.3,0.9824379203203415,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.922065829395802,1.5730536268921136,9007062570.398754,0.679307216588396,0.6556774501115981,0.7296831549414036,False,False
10.0,14.137166941154067,0.0,0.6,0.5,0.2122065907891938,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8676099067228468,1.0,1236782702.093832,0.6391882792214643,0.6169540538166999,0.6865890848712825,False,False
10.0,14.702653618800232,0.1,0.6,0.5,0.2122065907891938,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9478263822917862,1.6543321066613133,2046049333.0371606,0.6982856115442267,0.6739956797843881,0.7500689461841977,False,False
10.0,15.409511965857934,0.15,0.6,0.5,0.2122065907891938,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.935378256573032,1.9719425745429133,2438864465.717052,0.6891147895007612,0.665143865662516,0.7402180360235645,False,False
10.0,14.137166941154067,0.0,0.6,0.7,0.0773347634071406,0.40680408940432233,0.39876838216565524,0.4933638697746755,0.8516414958884525,1.0,450722559.0720963,0.5990463695611447,0.5956245986945146,0.6359053199803364,False,True
