closing_speed_km_s,slug_ratio,rho_bag_kg_m3,dissipated_MJ_kg,temp_0_K,rho_freeze_kg_m3,temp_freeze_K,bond_fraction,available_MJ_kg,eta_chem,conducts,ignites
70,8.5,0.323,230.7479,24509.8,2.108128e-02,15001.0,0.999969,206.9554,0.895813,1,1
70,12,0.323,173.9645,21205.1,2.108128e-02,12942.6,0.999932,137.5241,0.854236,1,1
70,16,0.323,135.6401,18665.2,2.108128e-02,10348.3,0.999798,93.1871,0.804117,1,1
70,20,0.323,111.1111,16613.4,1.734731e-02,5864.9,0.992823,66.0914,0.752660,1,1
75,0.5,0.323,625.0000,53296.6,1.799735e-01,45549.1,1.000000,1824.0591,0.986322,1,1
75,1,0.323,703.1250,59451.0,1.799735e-01,49655.6,1.000000,1355.3091,0.981721,1,1
75,2,0.323,625.0000,53296.6,1.799735e-01,45549.1,1.000000,886.5591,0.972452,1,1
75,4,0.323,450.0000,41509.4,1.799735e-01,34449.5,0.999999,511.5592,0.953645,1,1
75,6,0.323,344.3878,32075.0,1.799735e-01,27176.1,0.999991,350.8453,0.934460,1,1
75,8.5,0.323,264.8892,26514.7,2.108128e-02,15925.8,0.999979,245.1128,0.909910,1,1
75,12,0.323,199.7041,22727.5,2.108128e-02,13996.4,0.999955,165.4076,0.874386,1,1
75,16,0.323,155.7093,20055.7,2.108128e-02,11956.7,0.999900,114.5054,0.831938,1,1
75,20,0.323,127.5510,18045.5,2.027515e-02,9218.3,0.999642,83.0059,0.787259,1,1
80,0.5,0.323,711.1111,60151.8,1.799735e-01,50098.5,1.000000,2082.3925,0.987989,1,1
80,1,0.323,800.0000,68106.8,1.799735e-01,55625.7,1.000000,1549.0591,0.983952,1,1
80,2,0.323,711.1111,60151.8,1.799735e-01,50098.5,1.000000,1015.7258,0.975829,1,1
80,4,0.323,512.0000,45897.0,1.799735e-01,39152.9,1.000000,589.0591,0.959377,1,1
80,6,0.323,391.8367,36374.3,1.799735e-01,30044.9,0.999997,406.2021,0.942638,1,1
80,8.5,0.323,301.3850,28847.6,2.463932e-02,17208.3,0.999985,285.9020,0.921288,1,1
80,12,0.323,227.2189,24307.1,2.108128e-02,14896.5,0.999968,195.2146,0.890539,1,1
80,16,0.323,177.1626,21399.1,2.108128e-02,13090.1,0.999936,137.2977,0.854046,1,1
80,20,0.323,145.1247,19344.0,2.108128e-02,11211.9,0.999864,101.4470,0.815933,1,1
