v,plate_radius,mass,headroom,best_f_baseline,best_f_relaxed
11000.0,5.0,25.0,1.0,0.8039251968815841,0.8039251968815841
16000.0,5.0,25.0,1.0,0.784459174460033,0.8346484528133644
11000.0,5.0,20.0,1.25,0.8039251968815841,0.828679772042979
16000.0,5.0,20.0,1.25,0.784459174460033,0.8346484528133644
11000.0,5.0,15.0,1.6666666666666667,0.8039251968815841,0.828679772042979
16000.0,5.0,15.0,1.6666666666666667,0.8140375911485166,0.8346484528133644
11000.0,5.5,25.0,1.3310000000000004,0.8039251968815841,0.828679772042979
16000.0,5.5,25.0,1.3310000000000004,0.784459174460033,0.8346484528133644
11000.0,5.5,20.0,1.6637500000000005,0.8039251968815841,0.828679772042979
16000.0,5.5,20.0,1.6637500000000005,0.8140375911485166,0.8346484528133644
11000.0,5.5,15.0,2.218333333333334,0.8039251968815841,0.828679772042979
16000.0,5.5,15.0,2.218333333333334,0.8346484528133644,0.8346484528133644
11000.0,6.0,25.0,1.7279999999999998,0.8039251968815841,0.828679772042979
16000.0,6.0,25.0,1.7279999999999998,0.8140375911485166,0.8346484528133644
11000.0,6.0,20.0,2.1599999999999997,0.8039251968815841,0.828679772042979
16000.0,6.0,20.0,2.1599999999999997,0.8346484528133644,0.8346484528133644
11000.0,6.0,15.0,2.88,0.828679772042979,0.828679772042979
16000.0,6.0,15.0,2.88,0.8346484528133644,0.8603490626943031
11000.0,6.5,25.0,2.197,0.8039251968815841,0.828679772042979
16000.0,6.5,25.0,2.197,0.8346484528133644,0.8346484528133644
11000.0,6.5,20.0,2.74625,0.828679772042979,0.828679772042979
16000.0,6.5,20.0,2.74625,0.8346484528133644,0.8603490626943031
11000.0,6.5,15.0,3.661666666666667,0.828679772042979,0.828679772042979
16000.0,6.5,15.0,3.661666666666667,0.8346484528133644,0.8603490626943031
11000.0,7.0,25.0,2.7439999999999993,0.828679772042979,0.828679772042979
16000.0,7.0,25.0,2.7439999999999993,0.8346484528133644,0.8603490626943031
11000.0,7.0,20.0,3.4299999999999993,0.828679772042979,0.828679772042979
16000.0,7.0,20.0,3.4299999999999993,0.8346484528133644,0.8603490626943031
11000.0,7.0,15.0,4.573333333333332,0.828679772042979,0.828679772042979
16000.0,7.0,15.0,4.573333333333332,0.8346484528133644,0.8603490626943031
