closing_speed_km_s,rho_kg_m3,dissipated_MJ_kg,temp_K,pressure_Pa,ionised_fraction,dissociated_fraction,n_e_m3
56,0.2,147.6787,18734.7,6.353075e+06,0.224578,1.000000,4.504390e+24
56.53,0.2,150.4872,18909.7,6.460413e+06,0.233744,1.000000,4.688228e+24
58,0.2,158.4155,19389.9,6.763420e+06,0.259618,1.000000,5.207177e+24
60,0.2,169.5291,20035.5,7.189571e+06,0.295838,1.000000,5.933647e+24
62,0.2,181.0194,20678.1,7.633850e+06,0.333159,1.000000,6.682196e+24
64,0.2,192.8864,21323.6,8.098552e+06,0.371501,1.000000,7.451238e+24
66,0.2,205.1302,21977.7,8.586066e+06,0.410783,1.000000,8.239115e+24
68,0.2,217.7507,22646.5,9.098988e+06,0.450914,1.000000,9.044016e+24
70,0.2,230.7479,23336.1,9.640238e+06,0.491791,1.000000,9.863890e+24
72,0.2,244.1219,24053.9,1.021320e+07,0.533295,1.000000,1.069634e+25
74,0.2,257.8726,24808.1,1.082190e+07,0.575281,1.000000,1.153847e+25
76,0.2,272.0000,25609.1,1.147119e+07,0.617572,1.000000,1.238671e+25
44,0.323,91.1690,14263.2,6.651354e+06,0.042727,1.000000,1.384025e+24
45.58,0.323,97.8341,15165.4,7.199867e+06,0.061566,1.000000,1.994254e+24
46,0.323,99.6454,15385.6,7.340814e+06,0.066858,1.000000,2.165674e+24
48,0.323,108.4986,16352.6,7.996542e+06,0.093429,1.000000,3.026363e+24
50,0.323,117.7285,17221.9,8.641341e+06,0.121955,1.000000,3.950400e+24
52,0.323,127.3352,18026.5,9.288491e+06,0.152155,1.000000,4.928642e+24
54,0.323,137.3186,18787.1,9.946682e+06,0.183844,1.000000,5.955110e+24
56,0.323,147.6787,19518.2,1.062220e+07,0.216888,1.000000,7.025471e+24
56.53,0.323,150.4872,19708.4,1.080477e+07,0.225858,1.000000,7.316025e+24
58,0.323,158.4155,20230.4,1.132004e+07,0.251181,1.000000,8.136294e+24
60,0.323,169.5291,20931.9,1.204445e+07,0.286632,1.000000,9.284635e+24
62,0.323,181.0194,21629.9,1.279937e+07,0.323157,1.000000,1.046778e+25
64,0.323,192.8864,22330.5,1.358865e+07,0.360675,1.000000,1.168306e+25
66,0.323,205.1302,23039.8,1.441622e+07,0.399100,1.000000,1.292772e+25
68,0.323,217.7507,23763.9,1.528633e+07,0.438340,1.000000,1.419880e+25
70,0.323,230.7479,24509.2,1.620365e+07,0.478294,1.000000,1.549298e+25
72,0.323,244.1219,25282.7,1.717354e+07,0.518841,1.000000,1.680642e+25
74,0.323,257.8726,26092.7,1.820219e+07,0.559843,1.000000,1.813455e+25
76,0.323,272.0000,26948.7,1.929693e+07,0.601128,1.000000,1.947187e+25
44,0.5,91.1690,14601.1,1.051044e+07,0.039787,0.999999,1.995028e+24
45.58,0.5,97.8341,15574.0,1.140686e+07,0.057976,1.000000,2.907079e+24
46,0.5,99.6454,15811.5,1.163698e+07,0.063104,1.000000,3.164221e+24
48,0.5,108.4986,16855.2,1.270645e+07,0.088928,1.000000,4.459111e+24
50,0.5,117.7285,17793.8,1.375664e+07,0.116741,1.000000,5.853690e+24
52,0.5,127.3352,18662.8,1.480959e+07,0.146238,1.000000,7.332783e+24
54,0.5,137.3186,19484.6,1.587970e+07,0.177224,1.000000,8.886477e+24
56,0.5,147.6787,20274.7,1.697737e+07,0.209554,1.000000,1.050762e+25
56.53,0.5,150.4872,20480.2,1.727393e+07,0.218333,1.000000,1.094779e+25
58,0.5,158.4155,21044.2,1.811075e+07,0.243117,1.000000,1.219057e+25
60,0.5,169.5291,21802.2,1.928682e+07,0.277818,1.000000,1.393053e+25
62,0.5,181.0194,22556.0,2.051191e+07,0.313567,1.000000,1.572311e+25
64,0.5,192.8864,23312.3,2.179216e+07,0.350281,1.000000,1.756404e+25
66,0.5,205.1302,24077.2,2.313381e+07,0.387872,1.000000,1.944896e+25
68,0.5,217.7507,24857.0,2.454343e+07,0.426247,1.000000,2.137320e+25
70,0.5,230.7479,25658.2,2.602823e+07,0.465304,1.000000,2.333162e+25
72,0.5,244.1219,26487.7,2.759623e+07,0.504925,1.000000,2.531833e+25
74,0.5,257.8726,27353.4,2.925660e+07,0.544974,1.000000,2.732646e+25
76,0.5,272.0000,28264.5,3.101986e+07,0.585285,1.000000,2.934778e+25
44,0.8,91.1690,14966.6,1.718524e+07,0.036626,0.999999,2.938423e+24
45.58,0.8,97.8341,16022.2,1.870689e+07,0.054065,0.999999,4.337574e+24
46,0.8,99.6454,16280.2,1.909715e+07,0.059004,0.999999,4.733815e+24
48,0.8,108.4986,17414.3,2.090899e+07,0.083965,1.000000,6.736346e+24
50,0.8,117.7285,18435.1,2.268560e+07,0.110951,1.000000,8.901395e+24
52,0.8,127.3352,19380.6,2.446494e+07,0.139637,1.000000,1.120283e+25
54,0.8,137.3186,20275.1,2.627179e+07,0.169810,1.000000,1.362358e+25
56,0.8,147.6787,21135.3,2.812396e+07,0.201318,1.000000,1.615139e+25
