v,d_over_d,l_over_d,r_foot_over_r,rho_impact,e_eff,eta_capture,focusing_factor,plate_mass_t,peak_compressive,f,survives_baseline,survives_relaxed,within_mass_budget
16000.0,0.0,0.3,0.3,0.5821854342639061,0.6347669850196751,0.9197106661229045,1.0,31.808625617596658,183464524.79805028,0.7517563163740888,True,True,True
16000.0,0.1,0.3,0.3,0.5821854342639061,0.6347669850196751,0.9717143552512466,1.151680648019845,33.08097064230053,211292542.80807146,0.7942632734172089,True,True,True
16000.0,0.15,0.3,0.3,0.5821854342639061,0.6347669850196751,0.9920376702282916,1.2087966512751571,34.67140192318036,221771303.20367122,0.8108752155925235,True,True,True
16000.0,0.0,0.3,0.5,0.12575205380100374,0.6171588451271345,0.9145438907578087,1.0,31.808625617596658,39628337.35637886,0.7394813710979871,True,True,True
16000.0,0.1,0.3,0.5,0.12575205380100374,0.6171588451271345,0.9783208997317431,1.271431304860563,33.08097064230053,50384708.67447537,0.7910501481869623,True,True,True
16000.0,0.15,0.3,0.5,0.12575205380100374,0.6171588451271345,0.9665343472441825,1.6404509398191112,34.67140192318036,65008343.259740494,0.7815197843825554,True,True,True
16000.0,0.0,0.3,0.7,0.0458280079449722,0.5886636187500338,0.9067823029115004,1.0,31.808625617596658,14441813.905385882,0.7202860273809368,True,True,True
16000.0,0.1,0.3,0.7,0.0458280079449722,0.5886636187500338,0.9670731286449818,1.7228732275000502,33.08097064230053,24881414.53412728,0.768176948074527,True,True,True
16000.0,0.15,0.3,0.7,0.0458280079449722,0.5886636187500338,0.9604570000353636,1.9298353494244838,34.67140192318036,27870322.98442373,0.762921546664991,True,True,True
16000.0,0.0,0.6,0.3,0.29109271713195306,0.6291809551649499,0.8749793064132703,1.0,31.808625617596658,91732262.39902514,0.7127498110859685,True,True,True
16000.0,0.1,0.6,0.3,0.29109271713195306,0.6291809551649499,0.9338758824940476,1.2619278278328425,33.08097064230053,115759494.63139413,0.7607264011235815,True,True,True
16000.0,0.15,0.6,0.3,0.29109271713195306,0.6291809551649499,0.9212089959548667,1.5680134842068083,34.67140192318036,143837424.3784686,0.7504080759681471,True,True,True
16000.0,0.0,0.6,0.5,0.06287602690050187,0.5995185774654963,0.8663661861832036,1.0,31.808625617596658,19814168.67818943,0.6928844048439826,True,True,True
16000.0,0.1,0.6,0.5,0.06287602690050187,0.5995185774654963,0.9473691289401064,1.6558798646036643,33.08097064230053,32809882.94807448,0.7576672607285027,True,True,True
16000.0,0.15,0.6,0.5,0.06287602690050187,0.5995185774654963,0.9341897828377606,1.9679749474672363,34.67140192318036,38993787.563566804,0.7471269562637278,True,True,True
16000.0,0.0,0.6,0.7,0.0229140039724861,0.555784696348884,0.8503713678896534,1.0,31.808625617596658,7220906.952692941,0.6614973801879948,True,True,True
16000.0,0.1,0.6,0.7,0.0229140039724861,0.555784696348884,0.9115247731452154,1.8399087954738962,33.08097064230053,13285810.213558352,0.7090681462011071,True,True,True
16000.0,0.15,0.6,0.7,0.0229140039724861,0.555784696348884,0.9282969436850292,2.019532593194741,34.67140192318036,14582856.943389911,0.7221150893263051,True,True,True
16000.0,0.0,1.0,0.3,0.17465563027917186,0.6227337682903195,0.8342294815770418,1.0,31.808625617596658,55039357.43941509,0.6768661751291963,True,True,True
16000.0,0.1,1.0,0.3,0.17465563027917186,0.6227337682903195,0.9226604652350907,1.5489815943424299,33.08097064230053,85254951.63808806,0.7486161468017191,True,True,True
16000.0,0.15,1.0,0.3,0.17465563027917186,0.6227337682903195,0.9185936707662771,1.8632171509156128,34.67140192318036,102550274.75649302,0.745316484445099,True,True,True
16000.0,0.0,1.0,0.5,0.037725616140301114,0.581031090914594,0.8196538846444962,1.0,31.808625617596658,11888501.206913657,0.6479491377059362,True,True,True
16000.0,0.1,1.0,0.5,0.037725616140301114,0.581031090914594,0.8868737717072662,1.8287360593203972,33.08097064230053,21740930.848357067,0.7010875033929398,True,True,True
16000.0,0.15,1.0,0.5,0.037725616140301114,0.581031090914594,0.9108010384666032,2.1766801636873927,34.67140192318036,25877464.753062587,0.7200023797264994,True,True,True
16000.0,0.0,1.0,0.7,0.013748402383491658,0.5208059588759557,0.7924098380908393,1.0,31.808625617596658,4332544.171615764,0.6025508018202399,True,True,True
16000.0,0.1,1.0,0.7,0.013748402383491658,0.5208059588759557,0.8819784100765838,2.143542593196637,33.08097064230053,9286992.96876423,0.670659010822205,True,True,True
16000.0,0.15,1.0,0.7,0.013748402383491658,0.5208059588759557,0.8699240997012201,2.080124547987701,34.67140192318036,9012231.486618988,0.6614928772977082,True,True,True
16500.0,0.0,0.3,0.3,0.5821854342639061,0.6417431710338601,0.9197106661229045,1.0,31.808625617596658,194619961.0374292,0.7549643527171406,True,True,True
16500.0,0.1,0.3,0.3,0.5821854342639061,0.6417431710338601,0.9717143552512466,1.151680648019845,33.08097064230053,224140042.84518346,0.7976527034646522,True,True,True
16500.0,0.15,0.3,0.3,0.5821854342639061,0.6417431710338601,0.9920376702282916,1.2087966512751571,34.67140192318036,235255957.17334598,0.8143355352528191,True,True,True
16500.0,0.0,0.3,0.5,0.12575205380100374,0.6232371572985649,0.9145438907578087,1.0,31.808625617596658,42037911.58408471,0.7422608127292374,True,True,True
16500.0,0.1,0.3,0.5,0.12575205380100374,0.6232371572985649,0.9783208997317431,1.271431304860563,33.08097064230053,53448316.7789658,0.7940234181031645,True,True,True
16500.0,0.15,0.3,0.5,0.12575205380100374,0.6232371572985649,0.9665343472441825,1.6404509398191112,34.67140192318036,68961131.56614447,0.7844572331260354,True,True,True
16500.0,0.0,0.3,0.7,0.0458280079449722,0.5942750334489528,0.9067823029115004,1.0,31.808625617596658,15319938.623937575,0.7228301931525754,True,True,True
16500.0,0.1,0.3,0.7,0.0458280079449722,0.5942750334489528,0.9670731286449818,1.7228732275000502,33.08097064230053,26394312.10212601,0.770890272259031,True,True,True
16500.0,0.15,0.3,0.7,0.0458280079449722,0.5942750334489528,0.9604570000353636,1.9298353494244838,34.67140192318036,29564959.107488215,0.7656163079288301,True,True,True
16500.0,0.0,0.6,0.3,0.29109271713195306,0.6358662857368383,0.8749793064132703,1.0,31.808625617596658,97309980.5187146,0.7156745740394357,True,True,True
16500.0,0.1,0.6,0.3,0.29109271713195306,0.6358662857368383,0.9338758824940476,1.2619278278328425,33.08097064230053,122798172.34243774,0.7638480356173748,True,True,True
16500.0,0.15,0.6,0.3,0.29109271713195306,0.6358662857368383,0.9212089959548667,1.5680134842068083,34.67140192318036,152583361.60124633,0.7534873693000249,True,True,True
16500.0,0.0,0.6,0.5,0.06287602690050187,0.605096395620456,0.8663661861832036,1.0,31.808625617596658,21018955.792042356,0.6953006213650506,True,True,True
16500.0,0.1,0.6,0.5,0.06287602690050187,0.605096395620456,0.9473691289401064,1.6558798646036643,33.08097064230053,34804865.6710375,0.7603093870919279,True,True,True
16500.0,0.15,0.6,0.5,0.06287602690050187,0.605096395620456,0.9341897828377606,1.9679749474672363,34.67140192318036,41364778.42066072,0.749732326629173,True,True,True
16500.0,0.0,0.6,0.7,0.0229140039724861,0.560631870039914,0.8503713678896534,1.0,31.808625617596658,7659969.311968788,0.6635583290490147,True,True,True
16500.0,0.1,0.6,0.7,0.0229140039724861,0.560631870039914,0.9115247731452154,1.8399087954738962,33.08097064230053,14093644.910151502,0.7112773056506629,True,True,True
16500.0,0.15,0.6,0.7,0.0229140039724861,0.560631870039914,0.9282969436850292,2.019532593194741,34.67140192318036,15469557.688392464,0.7243648975877519,True,True,True
16500.0,0.0,1.0,0.3,0.17465563027917186,0.6291094272056228,0.8342294815770418,1.0,31.808625617596658,58385988.31122877,0.6795255564450091,True,True,True
16500.0,0.1,1.0,0.3,0.17465563027917186,0.6291094272056228,0.9226604652350907,1.5489815943424299,33.08097064230053,90438821.26158561,0.7515574310122061,True,True,True
16500.0,0.15,1.0,0.3,0.17465563027917186,0.6291094272056228,0.9185936707662771,1.8632171509156128,34.67140192318036,108785774.79463993,0.74824480440838,True,True,True
16500.0,0.0,1.0,0.5,0.037725616140301114,0.5865751340655277,0.8196538846444962,1.0,31.808625617596658,12611373.475225411,0.6502212359585862,True,True,True
16500.0,0.1,1.0,0.5,0.037725616140301114,0.5865751340655277,0.8868737717072662,1.8287360593203972,33.08097064230053,23062873.4317015,0.7035459366228282,True,True,True
