v,rho_impact,e_eff_eq,e_eff_frozen_rebound,e_eff_frozen_all,delta_frozen,e_eff_coupled,eta_design,f_eq,f_frozen_rebound,f_frozen_all
16000.0,0.01,0.6274117847915497,0.4519621861401544,0.6506892342975676,0.1754495986513953,0.49694696721008547,0.9920376702282916,0.7425138909032,0.6554875853588905,0.7540599442916034
16000.0,0.02,0.6293337856867995,0.4621375315571239,0.6506892319577757,0.16719625412967565,0.548897463252541,0.9920376702282916,0.7682823154337808,0.6853498242249304,0.7788750190164532
16000.0,0.04,0.6317130609410728,0.47292162138909455,0.6506892313510955,0.15879143955197828,0.583995297330342,0.9920376702282916,0.7856915022080813,0.7069279573354107,0.7951040401497882
16000.0,0.08,0.6342661137979742,0.4839056704592044,0.6506892313509738,0.15036044333876974,0.607785398277729,0.9920376702282916,0.7974918403672521,0.722910228415109,0.8056380160048336
16000.0,0.15,0.6364471957862539,0.49417556594871836,0.6506892313514827,0.1422716298375355,0.620813076088248,0.9920376702282916,0.8039538139390682,0.7333844058372628,0.8110181318297872
16000.0,0.3,0.6387172960863574,0.5059098799243218,0.6506892313506003,0.13280741616203562,0.6295613635601003,0.9920376702282916,0.8082931293001,0.7424181494408875,0.8142314346839317
16000.0,0.6,0.6417018368395315,0.5176521890866852,0.650689231351,0.12404964775284633,0.635003635440534,0.9920376702282916,0.8109925986586072,0.7494616368839202,0.815450515614897
22000.0,0.01,0.6462663305688825,0.4437696565260749,0.6481498286753979,0.20249667404280758,0.5227126441554169,0.9717143552512466,0.7398208676242009,0.6414364050951866,0.7407359786982957
22000.0,0.02,0.6540709659222366,0.45526641204915475,0.6481498268116368,0.19880455387308182,0.5768510810197391,0.9717143552512466,0.7661244157601635,0.6695337963162669,0.7632475878235588
22000.0,0.04,0.6620710740597231,0.4680943291970545,0.6481498263196079,0.19397674486266858,0.6171545206612357,0.9717143552512466,0.7857061311929857,0.691461137409004,0.7789423930569462
22000.0,0.08,0.669649093209048,0.4815909932141573,0.6481498263195793,0.18805809999489065,0.64303007462996,0.9717143552512466,0.7982779548137295,0.7069085771205748,0.7878323816817923
22000.0,0.15,0.6763854285407807,0.4939365565588809,0.6481498263200276,0.18244887198189974,0.658146078421705,0.9717143552512466,0.8056221737529651,0.7169780797508606,0.7919037037494302
22000.0,0.3,0.683319209769222,0.5080115222003971,0.6481498263193626,0.17530768756882487,0.6702774027921432,0.9717143552512466,0.8115162647724471,0.7263417664741832,0.794428967390665
22000.0,0.6,0.6899063526821554,0.5232547750283534,0.6481498263196084,0.166651577653802,0.6801550037337378,0.9717143552512466,0.8163153680876425,0.7353465029219088,0.7960276600416855
28000.0,0.01,0.634172387246694,0.4755115953719238,0.6472485775174146,0.15866079187477022,0.5259470814122347,0.9783208997317431,0.7464329608151224,0.6688223764855844,0.7528293159304799
28000.0,0.02,0.6427505571710874,0.4845404357012548,0.6472485759662916,0.1582101214698326,0.581306089269138,0.9783208997317431,0.7735123980025336,0.696122263811016,0.7757126508999007
28000.0,0.04,0.6518626408377757,0.49470016692510876,0.6472485755534576,0.1571624739126669,0.6143595259283103,0.9783208997317431,0.7896808319483474,0.7128031655071939,0.7874238136981598
28000.0,0.08,0.6606768777521255,0.5053437592633818,0.6472485755533288,0.15533311848874365,0.6356768765524499,0.9783208997317431,0.8001084367696,0.7241256186505775,0.7935398424251018
28000.0,0.15,0.6688246035018377,0.5160502943192136,0.6472485755537458,0.15277430918262414,0.6510740797342924,0.9783208997317431,0.8076401396047064,0.7329089897969862,0.7970860000672991
28000.0,0.3,0.6779381702800018,0.5286934872947144,0.6472485755531681,0.14924468298528737,0.6653098020979271,0.9783208997317431,0.8146036919602675,0.741599095691095,0.7995915559974882
28000.0,0.6,0.6867932233512257,0.541859884309341,0.6472485755534378,0.14493333904188477,0.6775226084418888,0.9783208997317431,0.8205777138056046,0.7496820564793134,0.8012340360990512
