v,opacity_scale,q_star,e_eff_rigid,e_eff_ablating,recovery,ablated_fraction
11000.0,0.01,2000000.0,0.5664764125081043,0.5769279478862281,0.010451535378123766,0.04596063956771504
11000.0,0.01,5000000.0,0.5664764125081043,0.5724478293723686,0.005971416864264278,0.027186383151630963
11000.0,0.01,10000000.0,0.5664764125081043,0.5702356832090321,0.003759270700927797,0.017289501666431742
11000.0,0.1,2000000.0,0.5660689828844323,0.5797713708129819,0.01370238792854972,0.047647938593529324
11000.0,0.1,5000000.0,0.5660689828844323,0.5741816447609764,0.008112661876544192,0.02869392790729691
11000.0,0.1,10000000.0,0.5660689828844323,0.5711430067836587,0.005074023899226454,0.018517290569041635
11000.0,1.0,2000000.0,0.566055266233097,0.5802002898526712,0.014145023619574315,0.04787406501678107
11000.0,1.0,5000000.0,0.566055266233097,0.5745047211061236,0.008449454873026674,0.02893073884817946
11000.0,1.0,10000000.0,0.566055266233097,0.5714040656802915,0.005348799447194408,0.01872283688904249
11000.0,10.0,2000000.0,0.5660122252689403,0.5802432260793122,0.014231000810371874,0.047897901692105664
11000.0,10.0,5000000.0,0.5660122252689403,0.5745677082051817,0.00855548293624131,0.028961588525198888
11000.0,10.0,10000000.0,0.5660122252689403,0.5714650931895118,0.00545286792057148,0.01875000946009537
16000.0,0.01,2000000.0,0.6208324554639922,0.6483837981577867,0.027551342693794445,0.07890541558614755
16000.0,0.01,5000000.0,0.6208324554639922,0.6409365727740073,0.0201041173100151,0.05704851773848524
16000.0,0.01,10000000.0,0.6208324554639922,0.6374647297953908,0.016632274331398578,0.046888547601435335
16000.0,0.1,2000000.0,0.6292299859403786,0.6670222326420711,0.037792246701692456,0.08466262476502082
16000.0,0.1,5000000.0,0.6292299859403786,0.6521161071870012,0.022886121246622537,0.05781830801358697
16000.0,0.1,10000000.0,0.6292299859403786,0.6448125592199598,0.015582573279581236,0.04163357167490809
16000.0,1.0,2000000.0,0.6323797522054067,0.6757276284544332,0.04334787624902653,0.08852337434895943
16000.0,1.0,5000000.0,0.6323797522054067,0.6589392974696261,0.026559545264219386,0.0611173105287223
16000.0,1.0,10000000.0,0.6323797522054067,0.6498859432172934,0.017506191011886774,0.04312317181919398
16000.0,10.0,2000000.0,0.6324545552898216,0.6775773179528672,0.045122762663045546,0.08939683868104696
16000.0,10.0,5000000.0,0.6324545552898216,0.6605012913692253,0.028046736079403667,0.062103368874906084
16000.0,10.0,10000000.0,0.6324545552898216,0.6510729743970604,0.018618419107238715,0.04386314241324933
