rho_impact,e_eff_eq,e_eff_frozen_rebound,e_eff_frozen_all,delta_frozen,e_eff_coupled,f_eq,f_frozen_rebound,f_frozen_all
0.01,0.6954487534627602,0.5017030210860021,0.6466386692656294,0.19374573237675818,0.34439789271779886,0.6576262780005682,0.5628535283915604,0.6337503152567086
0.02,0.7010983463781455,0.5118002476922219,0.646638668567757,0.18929809868592362,0.4637405313760119,0.7160039768147999,0.6234068337028393,0.6893644563175197
0.04,0.7062214059899095,0.5237758078743873,0.6466386683786283,0.1824455981155222,0.597158067248517,0.7812665586821905,0.6920213878319537,0.752121039948016
0.07,0.7106424527988542,0.5327012492340584,0.6466386683787722,0.1779412035647958,0.6528372181550428,0.8085025971877764,0.7214607980023463,0.7771944772077308
0.11,0.71376778884506,0.5414731039544458,0.6466386683784997,0.17229468489061417,0.6767865893340597,0.820217682367709,0.7359379367971176,0.7873807716011861
0.16,0.7164154200681014,0.5483129527590556,0.6466386683787333,0.16810246730904588,0.6903135303579964,0.826834526924287,0.7446054483918312,0.7927024996777364
