case,closing_speed_m_s,k,initial_density_kg_m3,test_radius_m,steps,prescribed_expansion_speed_m_s,status,density_kg_m3,temperature_k,pressure_pa,volume_ratio,bond_energy_j_kg,ion_energy_j_kg,bond_returned_fraction,ion_returned_fraction,internal_work_j_kg,hemisphere_radius_m,hemisphere_time_s,hemisphere_expansion_time_s,tau_ion_three_body_s,tau_ion_radiative_s,tau_bond_h_proxy_s,tau_bond_equilibrium_oh_s,da_ion_three_body,da_bond_h_proxy,da_bond_equilibrium_oh
3-synodic,45580.0,8.5,0.1,5.0,256,10000.0,outside_trajectory,,,,,,,,,,,,,,,,,,,
3-synodic,45580.0,8.5,0.1,10.0,256,10000.0,outside_trajectory,,,,,,,,,,,,,,,,,,,
3-synodic,45580.0,8.5,0.1,15.0,256,10000.0,crossed,0.033599376874955685,10616.677524862633,501745.51785991626,2.9762456718219092,50926323.74955923,3515383.8688214957,2.8271285881453778e-05,0.7555314858462412,19333844.697119668,14.999999999999998,0.0004571984530002764,0.0004999999999999999,2.6077703774282675e-08,7.451899634235457e-05,0.00025250850126297365,1.5996438960299912,19173.46727793918,1.9801313520105113,0.0003125695670398292
3-synodic,45580.0,8.5,1.0,5.0,256,10000.0,crossed,0.9071831756238035,15554.291851646709,20353825.799900617,1.1023132117858923,50853165.681766115,9401276.564874878,-6.328008186340384e-06,0.1044607563125215,2223558.5047126412,4.999999999999999,1.5974398377195164e-05,0.00016666666666666663,2.7892910198572706e-11,1.3743166602747212e-06,7.894085663349248e-07,0.0007831213627660455,5975234.046219926,211.12852554979045,0.21282354765292957
3-synodic,45580.0,8.5,1.0,10.0,256,10000.0,crossed,0.1133978969529754,6261.98812608768,965392.8553056646,8.81850569428714,49630253.95058152,7244.637192299706,0.024041721968346974,0.999309896175566,33517538.281766668,10.0,0.0005159743983771953,0.0003333333333333333,5.010561219341522e-05,0.007210910230499957,7.88666817958733e-06,0.0005882763795807554,6.652614722011905,42.26541877292154,0.5666270904347522
3-synodic,45580.0,8.5,1.0,15.0,256,10000.0,crossed,0.033599376874955685,4597.635885628178,195490.27417045177,29.76245671821909,44673534.21894696,102.25851262687816,0.12151355152594889,0.9999902591408277,41938193.87798663,14.999999999999998,0.001015974398377195,0.0004999999999999999,0.7132879113637892,1.367558248472525,6.028330408204425e-05,0.000936140334347771,0.0007009792147521637,8.294170460854483,0.5341079554577259
3-synodic,45580.0,8.5,10.0,5.0,256,10000.0,crossed,0.9071831756238035,6598.071764692102,7647286.7516664155,11.023132117858923,45343695.77660886,4746.44507171691,0.0988407213223298,0.9992948923211724,37023465.16356211,4.999999999999999,0.0002753352172324881,0.00016666666666666663,2.307690763493713e-06,0.0014307986307852648,1.6611711254188167e-07,2.6334577643809145e-06,72.2222705499513,1003.3082330674777,63.28814873013443
3-synodic,45580.0,8.5,10.0,10.0,256,10000.0,crossed,0.11339789695297545,4561.059020473967,572443.4100658653,88.18505694287137,36231360.716708995,41.57200058735169,0.2799390007855733,0.9999938242755587,50413492.01844723,9.999999999999998,0.000775335217232488,0.00033333333333333327,0.36551450071550756,0.9907612894064174,8.012723069543741e-06,4.532842391916754e-05,0.000911956523423343,41.60050590046336,7.353737556102854
3-synodic,45580.0,8.5,10.0,15.0,256,10000.0,crossed,0.033599376874955685,3973.9920208086246,137362.65206429083,297.6245671821909,31980976.349798333,4.908108462821196,0.3644110149120432,0.999999270876432,55933838.348980255,14.999999999999998,0.0012753352172324881,0.0004999999999999999,160.6732087551952,25.541506510960925,8.773028329998941e-05,0.00038422868754926044,3.1119064831885543e-06,5.699286280545503,1.3013083515163009
