diameter_m,depth_over_diameter,projected_area_m2,surface_area_m2,thickness_m,layer_density_kg_m3,layer_inventory_kg,reference_water_kg,full_renewal_fraction_reference_water
10.0,0.0,78.53981633974483,78.53981633974482,0.0,1000.0,0.0,212.5,0.0
10.0,0.0,78.53981633974483,78.53981633974482,1e-06,1000.0,0.07853981633974481,212.5,0.0003695991357164462
10.0,0.0,78.53981633974483,78.53981633974482,3e-06,1000.0,0.23561944901923446,212.5,0.0011087974071493387
10.0,0.0,78.53981633974483,78.53981633974482,1e-05,1000.0,0.7853981633974482,212.5,0.003695991357164462
10.0,0.0,78.53981633974483,78.53981633974482,3e-05,1000.0,2.3561944901923444,212.5,0.011087974071493385
10.0,0.0,78.53981633974483,78.53981633974482,0.0001,1000.0,7.853981633974482,212.5,0.03695991357164462
10.0,0.1,78.53981633974483,81.60229166561118,0.0,1000.0,0.0,212.5,0.0
10.0,0.1,78.53981633974483,81.60229166561118,1e-06,1000.0,0.08160229166561117,212.5,0.00038401078430875846
10.0,0.1,78.53981633974483,81.60229166561118,3e-06,1000.0,0.24480687499683354,212.5,0.0011520323529262755
10.0,0.1,78.53981633974483,81.60229166561118,1e-05,1000.0,0.8160229166561118,212.5,0.003840107843087585
10.0,0.1,78.53981633974483,81.60229166561118,3e-05,1000.0,2.4480687499683356,212.5,0.011520323529262756
10.0,0.1,78.53981633974483,81.60229166561118,0.0001,1000.0,8.160229166561118,212.5,0.03840107843087585
10.0,0.15,78.53981633974483,85.23299627216524,0.0,1000.0,0.0,212.5,0.0
10.0,0.15,78.53981633974483,85.23299627216524,1e-06,1000.0,0.08523299627216523,212.5,0.00040109645304548344
10.0,0.15,78.53981633974483,85.23299627216524,3e-06,1000.0,0.2556989888164957,212.5,0.0012032893591364504
10.0,0.15,78.53981633974483,85.23299627216524,1e-05,1000.0,0.8523299627216525,212.5,0.004010964530454835
10.0,0.15,78.53981633974483,85.23299627216524,3e-05,1000.0,2.5569898881649573,212.5,0.012032893591364505
10.0,0.15,78.53981633974483,85.23299627216524,0.0001,1000.0,8.523299627216526,212.5,0.04010964530454836
20.0,0.0,314.1592653589793,314.15926535897927,0.0,1000.0,0.0,212.5,0.0
20.0,0.0,314.1592653589793,314.15926535897927,1e-06,1000.0,0.31415926535897926,212.5,0.0014783965428657848
20.0,0.0,314.1592653589793,314.15926535897927,3e-06,1000.0,0.9424777960769378,212.5,0.004435189628597355
20.0,0.0,314.1592653589793,314.15926535897927,1e-05,1000.0,3.1415926535897927,212.5,0.014783965428657848
20.0,0.0,314.1592653589793,314.15926535897927,3e-05,1000.0,9.424777960769378,212.5,0.04435189628597354
20.0,0.0,314.1592653589793,314.15926535897927,0.0001,1000.0,31.415926535897928,212.5,0.14783965428657847
20.0,0.1,314.1592653589793,326.4091666624447,0.0,1000.0,0.0,212.5,0.0
20.0,0.1,314.1592653589793,326.4091666624447,1e-06,1000.0,0.3264091666624447,212.5,0.0015360431372350338
20.0,0.1,314.1592653589793,326.4091666624447,3e-06,1000.0,0.9792274999873342,212.5,0.004608129411705102
20.0,0.1,314.1592653589793,326.4091666624447,1e-05,1000.0,3.2640916666244473,212.5,0.01536043137235034
20.0,0.1,314.1592653589793,326.4091666624447,3e-05,1000.0,9.792274999873342,212.5,0.04608129411705102
20.0,0.1,314.1592653589793,326.4091666624447,0.0001,1000.0,32.64091666624447,212.5,0.1536043137235034
20.0,0.15,314.1592653589793,340.93198508866095,0.0,1000.0,0.0,212.5,0.0
20.0,0.15,314.1592653589793,340.93198508866095,1e-06,1000.0,0.3409319850886609,212.5,0.0016043858121819337
20.0,0.15,314.1592653589793,340.93198508866095,3e-06,1000.0,1.0227959552659829,212.5,0.0048131574365458014
20.0,0.15,314.1592653589793,340.93198508866095,1e-05,1000.0,3.40931985088661,212.5,0.01604385812181934
20.0,0.15,314.1592653589793,340.93198508866095,3e-05,1000.0,10.22795955265983,212.5,0.04813157436545802
20.0,0.15,314.1592653589793,340.93198508866095,0.0001,1000.0,34.0931985088661,212.5,0.16043858121819343
30.0,0.0,706.8583470577034,706.8583470577034,0.0,1000.0,0.0,212.5,0.0
30.0,0.0,706.8583470577034,706.8583470577034,1e-06,1000.0,0.7068583470577035,212.5,0.0033263922214480162
30.0,0.0,706.8583470577034,706.8583470577034,3e-06,1000.0,2.1205750411731104,212.5,0.00997917666434405
30.0,0.0,706.8583470577034,706.8583470577034,1e-05,1000.0,7.0685834705770345,212.5,0.033263922214480164
30.0,0.0,706.8583470577034,706.8583470577034,3e-05,1000.0,21.205750411731103,212.5,0.09979176664344049
30.0,0.0,706.8583470577034,706.8583470577034,0.0001,1000.0,70.68583470577035,212.5,0.3326392221448016
30.0,0.1,706.8583470577034,734.4206249905006,0.0,1000.0,0.0,212.5,0.0
30.0,0.1,706.8583470577034,734.4206249905006,1e-06,1000.0,0.7344206249905006,212.5,0.0034560970587788264
30.0,0.1,706.8583470577034,734.4206249905006,3e-06,1000.0,2.2032618749715023,212.5,0.010368291176336482
30.0,0.1,706.8583470577034,734.4206249905006,1e-05,1000.0,7.344206249905007,212.5,0.034560970587788266
30.0,0.1,706.8583470577034,734.4206249905006,3e-05,1000.0,22.03261874971502,212.5,0.1036829117633648
30.0,0.1,706.8583470577034,734.4206249905006,0.0001,1000.0,73.44206249905007,212.5,0.34560970587788264
30.0,0.15,706.8583470577034,767.0969664494871,0.0,1000.0,0.0,212.5,0.0
30.0,0.15,706.8583470577034,767.0969664494871,1e-06,1000.0,0.7670969664494871,212.5,0.003609868077409351
30.0,0.15,706.8583470577034,767.0969664494871,3e-06,1000.0,2.3012908993484613,212.5,0.010829604232228054
30.0,0.15,706.8583470577034,767.0969664494871,1e-05,1000.0,7.670969664494872,212.5,0.03609868077409351
30.0,0.15,706.8583470577034,767.0969664494871,3e-05,1000.0,23.012908993484615,212.5,0.10829604232228054
30.0,0.15,706.8583470577034,767.0969664494871,0.0001,1000.0,76.7096966449487,212.5,0.3609868077409351
