area_m2,final_wall_pressure_pa,initial_projection_impulse_ns,input_energy_j,layer_length_m,max_energy_error_j,momentum_error_ns,name,peak_wall_pressure_pa,projectile_cells,record,status,steps,time_s,timestep_fraction,wall_impulse_ns,water_cells,control_method,initial_rarefaction_arrival_s,snapshots,end_bond_parcel_peak_drop_j,peak_total_bond_store_j,end_ion_parcel_peak_drop_j,peak_total_ion_store_j,sampled_peak_max_water_density_kg_m3,sampled_peak_max_water_temperature_k,sampled_peak_hot_dense_mass_kg_Tge5000_rhoge10,sampled_peak_dense_closure_mass_kg_Tgt1000_rhoge100,sampled_peak_high_pressure_mass_kg_pgt1GPa,run,matched_gain_ns,relative_max_energy_error
44.178646691106465,1962741.7513917198,-0.0,25576445451.078407,1.0,21020526.252337065,7.071723137082461e-09,combined_h1_n20,5788041626.733179,20,summary,completed_time_window,18246,0.001,0.25,2605577.870236502,170,,,65,2296658720.7123723,5008135361.090625,5384274246.95146,9318461361.67905,407.5459107710993,37307.94394111088,210.0,155.0,153.75,flow_h1_n20_cfl01_1ms,679859.136197793,0.0008218705094319803
44.178646691106465,1044057.445113672,28487.500000000004,25983100195.2864,1.0,72587872.48787682,9.643258823294266e-10,unsprayed_h1_n20,315978306.9479399,20,summary,completed_time_window,1167,0.001,0.25,1925626.7944973453,0,,,65,86.41847516410053,1273521326.7933884,8130330859.433852,12950951496.650023,0.0,0.0,0.0,0.0,0.0,flow_h1_n20_cfl01_1ms,679859.136197793,0.002793657105669207
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n20,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.25,91.93954136374752,170,undisturbed wall until rarefaction head arrival; no spatial history,0.14664787193861456,,,,,,,,,,,flow_h1_n20_cfl01_1ms,679859.136197793,
44.178646691106465,1887861.8890517673,-0.0,25576445451.078392,1.0,29269111.523866624,2.5072472940565087e-08,combined_h1_n40,5791117873.603545,40,summary,completed_time_window,36720,0.001,0.25,2625392.100427861,340,,,65,2317017984.704062,4925291997.237436,5339973203.426294,9256997416.999569,438.3753079390766,37269.26141268107,211.25,150.625,150.0,flow_h1_n40_cfl01_1ms,705039.6035974437,0.0011443776102449974
44.178646691106465,971258.5672678394,14243.750000000002,25983100195.286396,1.0,79758904.83004487,4.500187450870657e-09,unsprayed_h1_n40,316043501.4722698,40,summary,completed_time_window,2321,0.001,0.25,1920260.5572890535,0,,,65,85.01726978924125,1273521775.989838,7985728105.645588,12766023021.36541,0.0,0.0,0.0,0.0,0.0,flow_h1_n40_cfl01_1ms,705039.6035974437,0.0030696454322457624
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n40,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.25,91.93954136374752,340,undisturbed wall until rarefaction head arrival; no spatial history,0.14664787193861456,,,,,,,,,,,flow_h1_n40_cfl01_1ms,705039.6035974437,
44.178646691106465,1847677.2797132793,-0.0,25576445451.078335,1.0,34839627.19829754,-7.071723137082461e-09,combined_h1_n80,5791723313.273092,80,summary,completed_time_window,73686,0.001,0.25,2634395.9568609972,680,,,65,2320388302.3187394,4874331977.53475,5305430269.371369,9216616112.590641,452.35497326632117,37267.42165281507,211.875,147.5,147.5,flow_h1_n80_cfl01_1ms,717900.421479267,0.0013621762752348628
44.178646691106465,936406.8287288003,7121.875000000001,25983100195.28635,1.0,81773171.43053669,1.7679307842706153e-09,unsprayed_h1_n80,316253616.8389745,80,summary,completed_time_window,4624,0.001,0.25,1916403.5958403666,0,,,65,81.93302922416478,1273521982.6029694,7922136780.886266,12611534454.418015,0.0,0.0,0.0,0.0,0.0,flow_h1_n80_cfl01_1ms,717900.421479267,0.0031471676134078616
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n80,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.25,91.93954136374752,680,undisturbed wall until rarefaction head arrival; no spatial history,0.14664787193861456,,,,,,,,,,,flow_h1_n80_cfl01_1ms,717900.421479267,
44.178646691106465,1961905.5739977094,-0.0,25576445451.078407,1.0,10311695.573523117,2.6036798822894515e-08,combined_h1_n20,5805875009.122873,20,summary,completed_time_window,36482,0.001,0.125,2604606.6460975003,170,,,65,2293406813.531498,5000344333.863414,5388010802.930744,9322710783.288181,408.1341582434396,38355.72421885719,210.0,155.0,153.75,flow_h1_n20_cfl005_1ms,679461.9897767118,0.00040317156632444927
