abs_matching_energy_offsets_j,branch,initial_bond_store_j,initial_compressing_mass_kg,initial_ion_store_j,initial_wall_impulse_ns,max_energy_error_j,max_matching_pressure_correction_fraction,max_source_energy_error_fraction,max_source_pressure_error_fraction,max_start_pressure_jump_fraction,max_start_temperature_jump_fraction,momentum_error_ns,name,record,restart_physical_energy_j,start_time_s,status,steps,time_s,wall_impulse_ns,run
0.0,equilibrium,5635540625.380545,2.5,7474878806.155985,1558795.240384444,5366.437503874982,0.0,0.0,0.0,8.537615059367454e-14,8.881784197001252e-15,-8.381903171539307e-09,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,completed_time_window,9627,0.0005,2562917.992368365,molecular_n40_05ms
27854010.020583693,molecular_frozen,5635540625.380545,2.5,7474878806.155985,1558795.240384444,5158.232903253653,0.004264610522454748,2.0683099677398786e-10,2.9769708631555147e-07,5.684341886080802e-14,4.107825191113079e-14,1.0477378964424133e-08,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,completed_time_window,9729,0.0005,2436285.7833362767,molecular_n40_05ms
0.0,equilibrium,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,849.8085586780918,0.0,0.0,0.0,7.815970093361102e-14,7.105427357601002e-15,1.5133991837501526e-08,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,2392,0.0005,2562917.992367636,molecular_n40_05ms
29462233.02371801,molecular_frozen,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,794.8440569071136,0.0025360291061793383,2.3732393827913256e-10,1.2336784405153622e-07,1.8851586958135158e-13,9.85878045867139e-14,6.51925802230835e-09,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,2448,0.0005,2540465.353265894,molecular_n40_05ms
0.0,equilibrium,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,13291.566614963465,0.0,0.0,0.0,7.105427357601002e-15,3.6637359812630166e-15,5.122274160385132e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,374,0.0005,1883057.2516488782,molecular_n40_05ms
26318442.4475977,molecular_frozen,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,13351.69267617297,0.002239529106609517,1.0731193711421838e-11,3.316688390597733e-08,2.6645352591003757e-15,1.6653345369377348e-15,6.05359673500061e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,373,0.0005,1882880.8763377413,molecular_n40_05ms
0.0,equilibrium,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,8189.988034835491,0.0,0.0,0.0,3.552713678800501e-15,1.7763568394002505e-15,1.979060471057892e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,247,0.0005,1883057.1589374563,molecular_n40_05ms
29075235.69116898,molecular_frozen,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,8229.760612775577,0.0018876705308101815,2.1951329642888595e-11,3.7033845101674956e-08,8.215650382226158e-15,3.774758283725532e-15,2.0954757928848267e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,247,0.0005,1883120.4355108137,molecular_n40_05ms
0.0,equilibrium,5627720266.514626,3.125,7411763078.099128,1560427.7722765675,31142.56389406036,0.0,0.0,0.0,3.126388037344441e-13,2.6645352591003757e-14,-7.2177499532699585e-09,combined_h1_n80_freeze_153.5us,summary,25611241326.34665,0.00015350000000000002,completed_time_window,19239,0.0005,2572275.4019558756,molecular_n80_05ms
29200583.823658697,molecular_frozen,5627720266.514626,3.125,7411763078.099128,1560427.7722765675,83620.11001363216,0.004592549903821963,2.35241937041053e-10,3.0038989939917826e-07,4.285460875053104e-14,4.1744385725905886e-14,-3.026798367500305e-09,combined_h1_n80_freeze_153.5us,summary,25611241326.34665,0.00015350000000000002,completed_time_window,19447,0.0005,2444949.610214681,molecular_n80_05ms
