run,variant,parent_forcing,history_stride,relative_tolerance,maximum_step_s,end_time_s,kinetics_validated,total_mass_kg,initial_bond_store_j,mass_mean_initial_ionized_nuclei_fraction,resolved_mass_fraction,resolved_initial_store_fraction,resolved_net_return_j,resolved_return_over_total_start_store,including_unresolved_return_lower_j,including_unresolved_return_upper_j,parent_equilibrium_net_return_j,resolved_work_j,resolved_parent_forcing_j,max_energy_error_j_kg,max_energy_relative_error,accepted_steps,rejected_steps
parcel_n40,baseline,True,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1319059853.9592779,0.23406092540947787,1319059853.9592779,1319059853.9592779,1350336898.2867608,-4163337058.1804595,164971078.6171074,0.6496885744854808,1.0377254591478352e-09,311447,343
parcel_n40,baseline,True,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1684969438.0790088,0.2989898485498416,1684969438.0790088,1684969438.0790088,1716134030.7036572,-6187738895.980742,179916062.9972953,0.6496885744854808,1.0377254591478352e-09,311447,343
parcel_n40,baseline,False,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1344084077.3129833,0.23850135535527664,1344084077.3129833,1344084077.3129833,1350336898.2867608,-4127584736.298979,0.0,0.6002793610095978,9.58805803248084e-10,311581,340
parcel_n40,baseline,False,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1708337888.454638,0.30313646942067446,1708337888.454638,1708337888.454638,1716134030.7036572,-6109801599.456715,0.0,0.6002793610095978,9.58805803248084e-10,311581,340
parcel_n40,li_h2,True,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1319061137.5454347,0.23406115317576368,1319061137.5454347,1319061137.5454347,1350336898.2867608,-4163338220.2233076,164971078.61710936,0.6497019855305552,1.0377468801539205e-09,311531,345
parcel_n40,li_h2,True,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1684970203.942114,0.29898998444862335,1684970203.942114,1684970203.942114,1716134030.7036572,-6187740140.050615,179916062.99729726,0.6497019855305552,1.0377468801539205e-09,311531,345
parcel_n40,li_h2,False,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1344087881.2241902,0.238502030341309,1344087881.2241902,1344087881.2241902,1350336898.2867608,-4127586273.76084,0.0,0.6002919524908066,9.588259151926861e-10,311574,343
parcel_n40,li_h2,False,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1708340950.5431159,0.303137012773776,1708340950.5431159,1708340950.5431159,1716134030.7036572,-6109803905.87181,0.0,0.6002919524908066,9.588259151926861e-10,311574,343
parcel_n40,without_direct_and_steam_h2,True,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1319053448.816537,0.23405978884722647,1319053448.816537,1319053448.816537,1350336898.2867608,-4163339499.307732,164971078.61710775,0.6496874121949077,1.0377236026606412e-09,311500,339
parcel_n40,without_direct_and_steam_h2,True,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1684947930.6747289,0.2989860321627885,1684947930.6747289,1684947930.6747289,1716134030.7036572,-6187738748.9453,179916062.99729565,0.6496874121949077,1.0377236026606412e-09,311500,339
parcel_n40,without_direct_and_steam_h2,False,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1344069572.132246,0.23849878147963605,1344069572.132246,1344069572.132246,1350336898.2867608,-4127577291.5129504,0.0,0.6002796739339828,9.588063030715592e-10,311592,341
parcel_n40,without_direct_and_steam_h2,False,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1708308870.4549441,0.3031313203140274,1708308870.4549441,1708308870.4549441,1716134030.7036572,-6109792710.015345,0.0,0.6002796739339828,9.588063030715592e-10,311592,341
parcel_n40,association_1e3_slower,True,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1316810358.132014,0.23366176302616845,1316810358.132014,1316810358.132014,1350336898.2867608,-4162679573.1535115,164971078.61711016,0.6523600993677974,4.3388034552117145e-09,310855,528
parcel_n40,association_1e3_slower,True,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1680768680.5991156,0.29824444402538935,1680768680.5991156,1680768680.5991156,1716134030.7036572,-6186735740.753663,179916062.99729803,0.6523600993677974,4.3388034552117145e-09,310855,528
parcel_n40,association_1e3_slower,False,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1341794794.1725593,0.2380951329016377,1341794794.1725593,1341794794.1725593,1350336898.2867608,-4126858329.2220926,0.0,0.6491647139191628,4.339262270626128e-09,310777,490
parcel_n40,association_1e3_slower,False,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1704100217.35615,0.30238451474938643,1704100217.35615,1704100217.35615,1716134030.7036572,-6108745783.155804,0.0,0.6491647139191628,4.339262270626128e-09,310777,490
parcel_n40,association_1e6_slower,True,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,553866133.4368776,0.09828092285280568,553866133.4368776,553866133.4368776,1350336898.2867608,-3995149755.511491,164971078.6171103,0.6525036869570613,3.967540810768035e-09,312093,482
parcel_n40,association_1e6_slower,True,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,670157204.3607159,0.11891622275643926,670157204.3607159,670157204.3607159,1716134030.7036572,-5908048564.27341,179916062.9972982,0.6525036869570613,3.967540810768035e-09,312093,482
parcel_n40,association_1e6_slower,False,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,562915614.2143129,0.09988671036796963,562915614.2143129,562915614.2143129,1350336898.2867608,-3953419295.993195,0.0,0.603003740310669,3.967947507870046e-09,312221,480
parcel_n40,association_1e6_slower,False,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,679947317.756156,0.1206534320228136,679947317.756156,679947317.756156,1716134030.7036572,-5822911515.871563,0.0,0.603003740310669,3.967947507870046e-09,312221,480
parcel_n40,frozen,True,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,-1.9157981036245928e-10,-3.39949302289916e-20,-1.9157981036245928e-10,-1.9157981036245928e-10,1350336898.2867608,-3852833031.402113,164971078.61710685,1.1016986519098282,6.004035870875227e-09,312409,356
parcel_n40,frozen,True,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,-1.9157981036245928e-10,-3.39949302289916e-20,-1.9157981036245928e-10,-1.9157981036245928e-10,1716134030.7036572,-5669393038.955949,179916062.9972947,1.1016986519098282,6.004035870875227e-09,312409,356
parcel_n40,frozen,False,2,0.0001,2.5e-07,0.000193,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,1.1046043119997649e-10,1.9600680492391545e-20,1.1046043119997649e-10,1.1046043119997649e-10,1350336898.2867608,-3808490758.354399,0.0,0.9692749977111816,5.282353613587572e-09,312496,356
parcel_n40,frozen,False,2,0.0001,2.5e-07,0.00025,False,237.5,5635540625.380545,0.10069599456142182,1.0,1.0,-2.982431642399366e-09,-5.292183732945718e-19,-2.982431642399366e-09,-2.982431642399366e-09,1716134030.7036572,-5580070427.504718,0.0,0.9692749977111816,5.282353613587572e-09,312496,356
parcel_n80,baseline,True,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1324671063.1885655,0.23538324587141618,1324671063.1885655,1324671063.1885655,1369796105.5254436,-4225392150.8364415,198058097.71312353,0.8538626516237855,1.3737558792930497e-09,625694,752
parcel_n80,baseline,True,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1691267585.0233495,0.3005244583826459,1691267585.0233495,1691267585.0233495,1735268865.028622,-6231130130.530907,216520266.9596359,0.8538626516237855,1.3737558792930497e-09,625694,752
parcel_n80,baseline,False,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1369653011.189101,0.2433761712248993,1369653011.189101,1369653011.189101,1369796105.5254436,-4185354711.4897733,0.0,0.7713792324066162,1.3088355821090045e-09,625454,735
parcel_n80,baseline,False,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1732825799.9789324,0.3079090142929418,1732825799.9789324,1732825799.9789324,1735268865.028622,-6144116807.003408,0.0,0.7713792324066162,1.3088355821090045e-09,625454,735
parcel_n80,li_h2,True,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1324672064.8890707,0.23538342386542757,1324672064.8890707,1324672064.8890707,1369796105.5254436,-4225415466.856638,198058097.71312606,0.8539157081395388,1.3738412404460553e-09,625798,754
parcel_n80,li_h2,True,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1691268140.9847639,0.30052455717245563,1691268140.9847639,1691268140.9847639,1735268865.028622,-6231145006.120602,216520266.95963833,0.8539157081395388,1.3738412404460553e-09,625798,754
parcel_n80,li_h2,False,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1369650842.892565,0.24337578593628625,1369650842.892565,1369650842.892565,1369796105.5254436,-4185356955.032387,0.0,0.769694060087204,1.307951142880967e-09,625354,733
parcel_n80,li_h2,False,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1732823500.31492,0.3079086056613995,1732823500.31492,1732823500.31492,1735268865.028622,-6144117531.39112,0.0,0.769694060087204,1.307951142880967e-09,625354,733
parcel_n80,without_direct_and_steam_h2,True,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1324665096.8401725,0.23538218569995947,1324665096.8401725,1324665096.8401725,1369796105.5254436,-4225395151.9880652,198058097.71312475,0.8538630614057183,1.373756538579808e-09,626004,754
parcel_n80,without_direct_and_steam_h2,True,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1691246427.0490181,0.30052069878314036,1691246427.0490181,1691246427.0490181,1735268865.028622,-6231130584.024444,216520266.9596372,0.8538630614057183,1.373756538579808e-09,626004,754
parcel_n80,without_direct_and_steam_h2,False,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1369640020.4984798,0.24337386288510876,1369640020.4984798,1369640020.4984798,1369796105.5254436,-4185349314.8502245,0.0,0.7713785171508789,1.3088350665813593e-09,625212,736
parcel_n80,without_direct_and_steam_h2,False,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1732797917.6155076,0.30790405982432856,1732797917.6155076,1732797917.6155076,1735268865.028622,-6144109742.944949,0.0,0.7713785171508789,1.3088350665813593e-09,625212,736
