status,switch_time_s,end_time_s,equilibrium_gain_ns,all_chemistry_effect_ns,molecular_effect_with_ionization_active_ns,ionization_effect_with_molecules_frozen_ns,molecular_fraction_of_equilibrium_gain,all_frozen_run,molecular_frozen_run
matched,0.00015350000000000002,0.0005,679814.770948805,86099.39917754848,126455.83372095157,-40356.4345434031,0.18601513106939332,freeze_05ms,molecular_n40_05ms
matched,0.00019300000000000003,0.0005,679814.8636594977,678.613330371445,22515.91567509924,-21837.302344727796,0.03312065810667079,freeze_05ms,molecular_n40_05ms
matched,0.00015350000000000002,0.0005,691812.4769416169,88037.34592229966,127219.1694332771,-39181.82351097744,0.18389256290330439,freeze_n80_05ms,molecular_n80_05ms
matched,0.00019300000000000003,0.0005,691812.4885213579,579.0827705336269,22142.821959061082,-21563.739188527456,0.032006970568553825,freeze_n80_05ms,molecular_n80_05ms
matched,0.00015350000000000002,0.0005,679816.1021157095,86099.6055647065,126456.03988263314,-40356.43431792664,0.18601507008892448,freeze_n40_halfdt_05ms,molecular_n40_halfdt_05ms
matched,0.00019300000000000003,0.0005,679815.596321727,678.714306761045,22515.898625272326,-21837.18431851128,0.033120597331245304,freeze_n40_halfdt_05ms,molecular_n40_halfdt_05ms
