r_over_d,capture_ray,capture_rim_angle,beta_parabolic,isp_parabolic_s,beta_flat,isp_flat_s,parabola_over_flat
1.5,0.10632253084281063,0.22264990188738543,0.33937325293679577,367.63216176066925,0.2922934095883849,316.63207723499403,1.1610704921972408
2.5,0.16378894099946845,0.3118225176262547,0.5108371565499706,553.3735099775665,0.4002569369073774,433.58550416572575,1.276273087224925
inf,0.3118225176262547,0.3118225176262547,0.908687743506112,984.3522924088297,0.5167105079323877,559.7359231813558,1.7586012468417134
