label,depth_ratio,focal_length_m,wall_height_m,rim_vs_source_m,theta_max_deg,area_m2,plate_mass_t,capture,beta_bare,isp_bare_s,beta_tamped,isp_tamped_s,turned_and_missed
flat plate,0.0,10.0,0.0,10.0,56.309932474020215,706.8583470577034,17.671458676442587,0.10632253084281063,0.2922934095883849,316.63207723499403,-0.2563092279442335,-138.8257836069,0.3213015143980565
"dish, delta/D = 0.156",0.078125,12.0,4.6875,7.3125,64.01076641616699,771.9466194113168,19.29866548528292,0.1417737652553523,0.4462120811118606,483.36723817604826,0.5080314382349072,275.1670826508303,0.242316887881688
"dish, delta/D = 0.188",0.09375,10.0,5.625,4.375,73.73979529168804,798.4881327874058,19.962203319685145,0.1960327257923809,0.6030258846803758,653.238602819339,1.0411857799769089,563.9415831610432,0.14529602107007697
"dish, delta/D = 0.208",0.10416666666666667,9.0,6.25,2.75,79.61114218453038,818.1499901009595,20.45374975252399,0.2341831939356831,0.7082080488619055,767.179068257029,1.3308191686554722,720.8168641039978,0.08987768723113759
"dish, delta/D = 0.234",0.1171875,8.0,7.03125,0.96875,86.30477946801082,844.7158267304109,21.117895668260275,0.28273867586040147,0.8357652341912145,905.357676573736,1.6306505086790775,883.215701877175,0.030647100574046127
"dish, delta/D = 0.250",0.125,7.5,7.5,0.0,90.0,861.6259834090409,21.540649585226024,0.3118225176262546,0.908687743506112,984.3522924088297,1.7825177060331145,965.4721342575381,2.7755575615628914e-17
"dish, delta/D = 0.288",0.14423076923076922,6.5,8.653846153846153,-2.1538461538461533,98.17123355994975,906.015456290277,22.650386407256928,0.38157453851492507,1.0726182353086489,1161.9329371954716,1.7825177060331145,965.4721342575381,0.0
"dish, delta/D = 0.347",0.1736111111111111,5.4,10.416666666666666,-5.016666666666666,108.4922254911265,980.2919144149001,24.507297860372503,0.47889571495001904,1.2746037375494248,1380.7373544278466,1.7825177060331145,965.4721342575381,0.0
