k,beta,isp_s,isp_vs_peak,energy_per_impulse_j,energy_vs_peak,realization,projectile_economy_ms
6.0,0.767946535760057,978.8594165184555,-0.005580193131952682,48831.524401480965,0.18326061764886203,0.4666236815957897,57595.99018200427
7.06,0.908687743506112,984.3522924088297,-1.1388223697395006e-11,41268.30175491166,-7.539753245078273e-06,0.4941168399687525,68151.5807629584
8.0,1.026617660782573,981.4300061526232,-0.0029687402466773705,36527.71760366405,-0.1148789593858367,0.5133088303912865,76996.32455869297
10.0,1.2598280947090712,963.5003503049497,-0.021183413982635457,29765.965815089858,-0.2787262833390072,0.5438205185207388,94487.10710318034
14.12,1.68360881029165,911.8997168025196,-0.07360431440596815,22273.582658137737,-0.4602778943243121,0.5828773436632245,126270.66077187375
16.0,1.8581145913796353,888.1638630003151,-0.09771748403535929,20181.74776409056,-0.5109661716019027,0.5949573322587044,139358.59435347264
32.0,3.0682610621255124,733.3020821949056,-0.2550410174876768,12221.906559027342,-0.7038449878201473,0.6466899671699634,230119.57965941343
