label,k_ratio,beta,realization,isp_s
"bare plate, k = 7.06",7.06,0.908687743506112,0.4941168399687525,984.3522924088297
"bare plate, k = 14.12",14.12,1.68360881029165,0.5828773436632245,911.8997168025196
"perfect-mirror tamper, tau_t = 1",14.12,1.782517706033115,0.6171203067922076,965.4721342575383
break-even against the bare plate at k = 7.06,14.12,1.817375487012224,0.6291883184698003,984.3522924088297
ceiling at K = 7.06,7.06,1.8390139133156778,1.0,1992.1447981232118
ceiling at K = 14.12,14.12,2.888444419044716,1.0,1564.4796057288477
